club,match_id,match_date,season,current_tier,previous_observed_tier,home_entry_match_number,window,home_score,away_score,goal_difference,method_note
ross-county,8736249,2021-03-06,20/21,54,54,6,6-10,3.0,2.0,1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
ross-county,9362012,2021-03-13,20/21,54,54,7,6-10,1.0,2.0,-1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
ross-county,9573812,2021-07-31,21/22,54,54,8,6-10,0.0,0.0,0.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
ross-county,9574201,2021-08-22,21/22,54,54,9,6-10,2.0,4.0,-2.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
ross-county,9574259,2021-09-18,21/22,54,54,10,6-10,2.0,2.0,0.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
ross-county,9574108,2021-10-16,21/22,54,54,11,11-20,2.0,3.0,-1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
ross-county,9574113,2021-10-23,21/22,54,54,12,11-20,2.0,3.0,-1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
ross-county,9935158,2021-11-24,21/22,54,54,13,11-20,1.0,0.0,1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
ross-county,9574092,2021-11-27,21/22,54,54,14,11-20,1.0,1.0,0.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
ross-county,9573936,2021-12-11,21/22,54,54,15,11-20,3.0,2.0,1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
ross-county,9574066,2021-12-15,21/22,54,54,16,11-20,1.0,2.0,-1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
ross-county,10035826,2022-01-18,21/22,54,54,17,11-20,3.0,1.0,2.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
ross-county,9574471,2022-01-29,21/22,54,54,18,11-20,3.0,3.0,0.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
ross-county,10035834,2022-02-01,21/22,54,54,19,11-20,1.0,1.0,0.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
ross-county,9574309,2022-02-09,21/22,54,54,20,11-20,1.0,1.0,0.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
ross-county,14035327,2025-08-08,25/26,55,54,1,1-5,0.0,1.0,-1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
