portfolio_run_id,analysis_side,club,match_id,kickoff_date,movement_direction,window,selection,odds_close,stake_amount,pnl
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,east-fife,14035563,2025-12-13,upward_tier_move,11-20,away,3.188217425490794,0.48186581753105007,1.0333386350964147
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,peterhead,14035566,2025-12-13,upward_tier_move,11-20,home,1.9567907201159762,5.296195790676696,4.9660039647480225
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,dumbarton,14035739,2025-12-13,downward_tier_move,11-20,home,4.695775132363513,33.16403487120371,120.11547905851444
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,peterhead,14035567,2025-12-20,upward_tier_move,11-20,away,3.438004286853993,26.241399108316624,62.69711064874003
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,hamilton-academical,14035568,2025-12-20,downward_tier_move,11-20,home,2.48,25.65856048353814,37.21517612532371
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,annan-athletic,14035742,2025-12-20,downward_tier_move,11-20,away,5.406667145322601,11.916074017478103,51.45996843657199
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,dumbarton,14035745,2025-12-20,downward_tier_move,11-20,away,3.9947983514647456,12.320691737526232,-12.320691737526232
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,peterhead,14035573,2025-12-27,upward_tier_move,11-20,home,2.4930155553357674,4.611090837358847,-4.611090837358847
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,hamilton-academical,14035574,2025-12-27,downward_tier_move,11-20,away,3.5743845677549326,15.490886270445298,-15.490886270445298
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,east-fife,14035585,2026-01-10,upward_tier_move,11-20,away,4.544610389424286,37.853046779240294,-37.853046779240294
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,hamilton-academical,15363335,2026-01-17,downward_tier_move,11-20,away,5.05,43.76200482202227,173.69139713860642
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,east-fife,15305942,2026-01-20,upward_tier_move,11-20,home,7.095159865579194,45.15705190256827,-45.15705190256827
