environment,model,policy,n_bets,total_return_pct,roi_pct,sharpe_ann,max_drawdown_pct,win_rate_pct,n_capped,mean_exposure,delta_return_pp,delta_sharpe,core_n_bets,core_roi_pct,core_stake_vs_p0,delta_core_roi_pp,added_n_bets,added_win_rate_pct,added_roi_pct,added_stake_share_pct,added_edge_pp
t25,m05_joint_grw_smile_spine_w040,P0 Option B,1104,457.6981207541064,16.276777187906166,1.2832132351818621,-43.82423904091679,32.880434782608695,10,0.14060290042483892,0.0,0.0,1104,16.276777187906152,1.0,0.0,0,NaN,NaN,0.0,NaN
t25,m05_joint_grw_smile_spine_w040,P0 ext book,1111,467.91809223430175,16.32225416297622,1.2971368817244606,-43.88310365306471,32.943294329432945,11,0.1413541979912113,0.0,0.0,1111,16.322254162976215,1.0,0.0,0,NaN,NaN,0.0,NaN
t25,m05_joint_grw_smile_spine_w040,+U0.5,1184,395.2586946740449,14.898263275903053,1.2100538115732855,-44.511827039922345,31.25,12,0.14446014444729507,-72.65939756025688,-0.08708307015117511,1111,16.26130347880723,1.0007159814830333,-0.06095068416898641,73,5.47945205479452,-49.270163295895514,2.0799781692515666,2.4456462786174313
t25,m05_joint_grw_smile_spine_w040,+U1.5,1263,374.9732373785888,14.063775318032649,1.1624531962920546,-41.13429497007699,31.353919239904986,16,0.1511868885214155,-92.94485485571295,-0.13468368543240605,1111,16.675096688635662,0.9803571503279747,0.3528425256594474,152,19.736842105263158,-14.634957998659853,8.340200605470635,4.293899213135475
t25,m05_joint_grw_smile_spine_w040,+U3.5,1136,452.7585169601668,15.917847290044216,1.290694919613254,-43.12459143260883,33.45070422535211,13,0.14246806517870417,-15.159575274134966,-0.006441962111206623,1111,16.196142097139735,0.9942447378034229,-0.12611206583648027,25,56.00000000000001,-4.374663579811735,1.352862943075396,3.5908312009084007
t25,m05_joint_grw_smile_spine_w040,+U4.5,1112,468.3611757927479,16.324568447878043,1.2975764817197304,-43.88310365306471,33.00359712230216,11,0.14139094693109144,0.44308355844611924,0.00043959999526976823,1111,16.318850120715407,0.9999583180561501,-0.003404042260807927,1,100.0,35.28000000000001,0.030158124370275093,9.577152036808112
t25,m05_joint_grw_smile_spine_w040,+O2.5,1175,486.34536091224163,16.160507787817753,1.3233073761023835,-43.88310365306472,34.12765957446808,14,0.14471328731541194,18.427268677939878,0.02617049437792285,1111,16.18035862801029,0.990765537694825,-0.14189553496592566,64,54.6875,15.564487684052198,3.223214276835782,2.1357781699502967
t25,m05_joint_grw_smile_spine_w040,+O3.5,1227,481.3789858570944,15.176957255068835,1.3254809011126987,-41.92112304186786,32.43683781581092,20,0.15291979777394016,13.46089362279264,0.02834401938823805,1111,16.824450002414117,1.0096813705901848,0.5021958394379027,116,27.586206896551722,-7.8820177001337095,6.668265035618109,1.7610498509001715
t25,m05_joint_grw_smile_spine_w040,+O4.5,1157,373.2687272612004,14.666517246019339,1.1461850889011003,-43.99118547117029,31.80639585133967,13,0.14536126087193396,-94.64936497310134,-0.15095179282336035,1111,16.308838940828185,1.0026502365076013,-0.013415222148029926,46,4.3478260869565215,-49.41279668532735,2.49890569393445,2.6546954078009652
t25,m05_joint_grw_smile_spine_w040,+BTTS_yes,1157,402.3328325641426,14.999858278864222,1.208201665594225,-43.48207291873463,33.62143474503025,12,0.14520039966603507,-65.58525967015913,-0.0889352161302357,1111,16.823685426238118,0.993297331925862,0.5014312632619031,46,50.0,-38.42029844398097,3.301404097971091,1.0361248002998331
