environment,policy,model,level,group,n_bets,win_rate_pct,roi_pct,stake_share_pct,edge_mean_pp,odds_mean,capture_ratio
close,+U1.5,m05_joint_grw_smile_spine_w040,family,O/U 1.5_under_15,208,21.634615384615387,-6.308252538580802,9.955120898953647,4.284508585632231,4.55383341996791,0.9993093889109763
close,+U3.5,m05_joint_grw_smile_spine_w040,family,O/U 3.5_under_35,29,75.86206896551724,22.270771689425754,0.9884769916699083,3.0974592362487288,1.6237845378933047,0.5337756949867627
close,+O2.5,m05_joint_grw_smile_spine_w040,family,O/U 2.5_over_25,49,51.02040816326531,16.46571692622791,2.3277058498307874,2.3197575801053536,2.1086689411184536,1.2390528540081713
close,+O3.5,m05_joint_grw_smile_spine_w040,family,O/U 3.5_over_35,206,30.582524271844658,-1.802156953405036,9.76123734930709,2.144092481670167,3.3736292224204525,0.8661698218290512
close,+O4.5,m05_joint_grw_smile_spine_w040,family,O/U 4.5_over_45,95,9.473684210526317,2.3656940208196056,5.542159311253247,3.6992182460506418,6.807785101397655,1.665096453467342
close,+BTTS_yes,m05_joint_grw_smile_spine_w040,family,BTTS_btts_yes,52,57.692307692307686,9.58161409746447,2.5194853934522885,-0.11522553097475519,1.865316681631645,-1.362732150034523
close,+BTTS_no,m05_joint_grw_smile_spine_w040,family,BTTS_btts_no,65,40.0,-0.48248231339483655,3.218126756202363,3.519206994264711,2.3191943091641978,0.9301465253168645
close,+all_unders,m05_joint_grw_smile_spine_w040,family,O/U 0.5_under_05,145,3.4482758620689653,-63.455264696078004,3.4232267544432045,2.2032611316729134,15.720026865920113,0.6753028203931777
close,+all_unders,m05_joint_grw_smile_spine_w040,family,O/U 1.5_under_15,208,21.634615384615387,-6.558066212029773,9.472869852869424,4.284508585632231,4.55383341996791,0.9993093889109763
close,+all_unders,m05_joint_grw_smile_spine_w040,family,O/U 3.5_under_35,29,75.86206896551724,23.217788738807798,0.8451499170144308,3.0974592362487288,1.6237845378933047,0.5337756949867627
close,+all_fringe,m05_joint_grw_smile_spine_w040,family,BTTS_btts_no,65,40.0,0.9648113516686744,2.4180889876633556,3.519206994264711,2.3191943091641978,0.9301465253168645
close,+all_fringe,m05_joint_grw_smile_spine_w040,family,BTTS_btts_yes,52,57.692307692307686,11.7535311382005,1.6736754748258285,-0.11522553097475519,1.865316681631645,-1.362732150034523
close,+all_fringe,m05_joint_grw_smile_spine_w040,family,O/U 0.5_under_05,145,3.4482758620689653,-66.16545524095034,2.8727424254324374,2.2032611316729134,15.720026865920113,0.6753028203931777
close,+all_fringe,m05_joint_grw_smile_spine_w040,family,O/U 1.5_under_15,208,21.634615384615387,-5.715493482301554,7.741065833207445,4.284508585632231,4.55383341996791,0.9993093889109763
close,+all_fringe,m05_joint_grw_smile_spine_w040,family,O/U 2.5_over_25,49,51.02040816326531,12.710448234645877,1.8226157860322483,2.3197575801053536,2.1086689411184536,1.2390528540081713
close,+all_fringe,m05_joint_grw_smile_spine_w040,family,O/U 3.5_over_35,206,30.582524271844658,-4.375552959238491,7.752088177161068,2.144092481670167,3.3736292224204525,0.8661698218290512
close,+all_fringe,m05_joint_grw_smile_spine_w040,family,O/U 3.5_under_35,29,75.86206896551724,25.505925046154303,0.6791165791858353,3.0974592362487288,1.6237845378933047,0.5337756949867627
close,+all_fringe,m05_joint_grw_smile_spine_w040,family,O/U 4.5_over_45,95,9.473684210526317,11.149753262803268,4.1825713397424655,3.6992182460506418,6.807785101397655,1.665096453467342
t25,+U0.5,m05_joint_grw_baseline,family,O/U 0.5_under_05,37,2.7027027027027026,-89.52587442345471,0.7058620825799942,2.269807158066276,16.937719569005086,1.6881641993525758
t25,+U1.5,m05_joint_grw_baseline,family,O/U 1.5_under_15,76,23.684210526315788,3.895722035165348,3.1122726960435143,4.8566956998654485,4.44699432446847,1.1100888722404436
t25,+U3.5,m05_joint_grw_baseline,family,O/U 3.5_under_35,67,56.71641791044776,-14.999703333957727,6.156333935900361,6.006079778833798,1.5092321332012313,1.0066958454544974
t25,+U4.5,m05_joint_grw_baseline,family,O/U 4.5_under_45,23,95.65217391304348,10.434601219105641,3.6364440725722673,4.835974456838963,1.2211620198051263,0.9541833973323451
t25,+O2.5,m05_joint_grw_baseline,family,O/U 2.5_over_25,116,58.620689655172406,10.770823088340583,8.554724787846117,5.739779978509945,1.926461924440374,1.0733202309594887
t25,+O3.5,m05_joint_grw_baseline,family,O/U 3.5_over_35,75,26.666666666666668,-23.69549110733659,4.695131372119172,4.992935596507738,3.143230498200405,0.9448909786460029
t25,+O4.5,m05_joint_grw_baseline,family,O/U 4.5_over_45,21,4.761904761904762,-9.287641162165814,0.6822115205671393,3.2372202826600214,6.599327679618575,1.8444391653594732
t25,+BTTS_yes,m05_joint_grw_baseline,family,BTTS_btts_yes,73,60.273972602739725,-12.369534665829818,4.3891211206240275,3.0749263680352623,1.7891706376465741,1.2000353972069364
t25,+BTTS_no,m05_joint_grw_baseline,family,BTTS_btts_no,82,50.0,13.024483155205747,4.049329685967047,3.992165566584556,2.283556044728213,1.2383345113207658
t25,+all_unders,m05_joint_grw_baseline,family,O/U 0.5_under_05,37,2.7027027027027026,-89.53028397907981,0.6119847574212867,2.269807158066276,16.937719569005086,1.6881641993525758
t25,+all_unders,m05_joint_grw_baseline,family,O/U 1.5_under_15,76,23.684210526315788,1.3279640598941194,2.8245852028932417,4.8566956998654485,4.44699432446847,1.1100888722404436
t25,+all_unders,m05_joint_grw_baseline,family,O/U 3.5_under_35,67,56.71641791044776,-16.130369105908848,5.693725397839144,6.006079778833798,1.5092321332012313,1.0066958454544974
t25,+all_unders,m05_joint_grw_baseline,family,O/U 4.5_under_45,23,95.65217391304348,9.816255836808073,3.2919123567220816,4.835974456838963,1.2211620198051263,0.9541833973323451
t25,+all_fringe,m05_joint_grw_baseline,family,BTTS_btts_no,82,50.0,14.010142243208627,3.0025437371064148,3.992165566584556,2.283556044728213,1.2383345113207658
