match_id,tournament_id,season,match_date,home_team,away_team,overall_home,overall_away,non_penalty_non_own_goal_home,non_penalty_non_own_goal_away,penalty_goal_home,penalty_goal_away,penalty_awarded_home,penalty_awarded_away,penalty_missed_home,penalty_missed_away,own_goal_home,own_goal_away,usable_for_components,quarantine_reason,referee,referee_name,referee_id,referee_present,sofascore_referee_present
9398852,56,20/21,2021-03-20T15:00:00+00:00,falkirk-fc,montrose,2,0,2,0,0,0,0,0,0,0,0,0,true,,Gavin Duncan,Gavin Duncan,a5gognfw3xn5vhcko162iq7yt,true,false
9398868,57,20/21,2021-03-20T15:00:00+00:00,annan-athletic,cowdenbeath,0,0,0,0,0,0,0,0,0,0,0,0,true,,Gavin Ross,Gavin Ross,ep76888edvvweefbdirvpfmj9,true,false
9398869,57,20/21,2021-03-20T15:00:00+00:00,queens-park-fc,stranraer,3,0,2,0,1,0,1,0,0,0,0,0,true,,Duncan Williams,Duncan Williams,mgxw0j6cj0x17rvdlc964pn9,true,false
9398874,57,20/21,2021-03-20T15:00:00+00:00,stenhousemuir,albion-rovers,2,0,2,0,0,0,0,0,0,0,0,0,true,,Lloyd Wilson,Lloyd Wilson,mb39kmc5hg5dahpssor662mt,true,false
9398879,57,20/21,2021-03-20T15:00:00+00:00,stirling-albion,brechin-city,1,0,1,0,0,0,0,0,0,0,0,0,true,,Barry Cook,Barry Cook,jk80yb2y248j814k94zqvrv9,true,false
9400336,57,20/21,2021-03-20T15:00:00+00:00,elgin-city,edinburgh-city-fc,1,2,1,2,0,0,0,0,0,0,0,0,true,,David Lowe,David Lowe,8j68r4kmdypfbbdem779m7kl,true,false
9400352,56,20/21,2021-03-20T15:00:00+00:00,partick-thistle,cove-rangers,1,1,1,1,0,0,0,0,0,0,0,0,true,,Steven Reid,Steven Reid,3zu5nxywlbxjpwazsvktn6tat,true,false
9398878,57,20/21,2021-03-23T19:30:00+00:00,stranraer,brechin-city,2,0,2,0,0,0,0,0,0,0,0,0,true,,Kevin Graham,Kevin Graham,6sdr8stbqiaqo6uahg2yd5cr9,true,false
9398877,57,20/21,2021-03-23T19:45:00+00:00,albion-rovers,edinburgh-city-fc,1,2,1,2,0,0,0,0,0,0,0,0,true,,Duncan Williams,Duncan Williams,mgxw0j6cj0x17rvdlc964pn9,true,false
9398850,56,20/21,2021-03-27T15:00:00+00:00,airdrieonians,partick-thistle,2,4,2,4,0,0,0,0,0,0,0,0,true,,Craig Napier,Craig Napier,21moh7ea3ftia3jkdb6pvimdx,true,false
9398851,56,20/21,2021-03-27T15:00:00+00:00,dumbarton,peterhead,0,1,0,1,0,0,0,0,0,0,0,0,true,,Chris Graham,Chris Graham,j8g304sx1bb6gdsqflnnx711,true,false
9398853,56,20/21,2021-03-27T15:00:00+00:00,forfar-athletic,falkirk-fc,0,2,0,2,0,0,0,0,0,0,0,0,true,,Steven Reid,Steven Reid,3zu5nxywlbxjpwazsvktn6tat,true,false
9398854,56,20/21,2021-03-27T15:00:00+00:00,montrose,clyde-fc,2,2,2,2,0,0,0,0,0,0,0,0,true,,Alan Newlands,Alan Newlands,8dzc0favgeocs0qf3qjvxkhxx,true,false
9398855,56,20/21,2021-03-27T15:00:00+00:00,east-fife,cove-rangers,0,0,0,0,0,0,0,1,0,1,0,0,true,,Mike Roncone,Mike Roncone,4oyle92nqzmfq1vj2ff0rh68l,true,false
9398900,57,20/21,2021-03-27T15:00:00+00:00,albion-rovers,annan-athletic,1,1,1,1,0,0,0,0,0,0,0,0,true,,Matthew McDermid,Matthew McDermid,ef201gyzs03xy93ixiul2ums5,true,false
9398901,57,20/21,2021-03-27T15:00:00+00:00,brechin-city,queens-park-fc,0,2,0,2,0,0,0,0,0,0,0,0,true,,Peter Stuart,Peter Stuart,9dgds61vqncdtk8t34o2xzmc5,true,false
9398908,57,20/21,2021-03-27T15:00:00+00:00,cowdenbeath,stranraer,1,1,1,1,0,0,0,0,0,0,0,0,true,,Duncan Williams,Duncan Williams,mgxw0j6cj0x17rvdlc964pn9,true,false
